sample_date,commit_date,sha,commits,code,code_files,code_comment,code_blank,tests,test_files,docs_md,docs_files,agent_md,agent_files
2026-02-20,2026-02-20,4c99cfd3dd,19,1779,24,143,245,0,0,152,1,0,0
2026-02-27,2026-02-24,4104769bed,63,7099,53,702,1139,0,0,174,1,0,0
2026-03-06,2026-03-06,47cef7e305,112,13299,82,1027,1766,0,0,486,1,0,0
2026-03-13,2026-03-07,a94d753330,113,14292,84,1074,1858,0,0,507,1,0,0
2026-03-20,2026-03-20,3a1ce00f4f,122,15676,91,1260,2085,0,0,974,3,0,0
2026-03-27,2026-03-20,3a1ce00f4f,122,15676,91,1260,2085,0,0,974,3,0,0
2026-04-03,2026-03-20,3a1ce00f4f,122,15676,91,1260,2085,0,0,974,3,0,0
2026-04-10,2026-04-10,33eb6d070c,142,18335,108,1573,2433,0,0,1497,8,378,7
2026-04-17,2026-04-14,2b168f9aca,157,20534,117,1897,2806,0,0,2217,12,401,7
2026-04-24,2026-04-24,5893b16514,176,25414,142,2433,3229,0,0,2657,14,1663,18
2026-05-01,2026-04-27,0866cd1a14,196,26209,146,2499,3293,0,0,3007,16,1997,18
2026-05-08,2026-04-27,0866cd1a14,196,26209,146,2499,3293,0,0,3007,16,1997,18
2026-05-15,2026-05-13,d4999d1bae,197,30529,165,3074,3786,0,0,4993,25,2568,18
2026-05-22,2026-05-13,d4999d1bae,197,30529,165,3074,3786,0,0,4993,25,2568,18
2026-05-29,2026-05-13,d4999d1bae,197,30529,165,3074,3786,0,0,4993,25,2568,18
2026-06-05,2026-06-04,ca43322566,220,36021,191,3650,4249,0,0,6647,39,3003,18
2026-06-12,2026-06-12,a2f83e508b,254,39442,224,4150,4576,845,8,6884,41,3254,19
2026-06-19,2026-06-19,424db4eab4,308,53492,293,5143,5530,1622,13,9161,51,5107,22
2026-06-26,2026-06-26,0b413d0dec,323,60419,310,5723,5995,1679,14,10530,54,6338,30
2026-07-03,2026-07-03,c96febccce,388,72923,374,6881,6993,2163,17,13102,105,7387,34
2026-07-10,2026-07-10,a3247e08fe,409,77141,400,7467,7359,2163,17,13841,121,7658,35
2026-07-17,2026-07-17,e69a88c745,435,81011,414,8033,7633,2163,17,15477,157,7713,36
2026-07-24,2026-07-24,423fe930fc,467,84475,427,8339,7853,2215,18,15836,169,7811,36
2026-07-31,2026-07-31,3498f23c55,501,87949,447,9259,8183,2303,19,16592,183,8024,37
2026-08-07,2026-08-07,11c1dd44f2,537,92891,475,10276,8718,3323,30,18692,211,8725,38
2026-08-14,2026-08-14,c5b3f547ce,628,101487,522,22873,10407,6090,44,23302,235,9764,38
2026-08-21,2026-08-21,f1b7cdcb8c,646,108206,540,24178,11036,6786,51,25531,272,9633,39
2026-08-28,2026-08-27,dceae6dbb2,676,119511,577,25676,11863,9317,66,27608,300,10116,40
2026-09-02,2026-09-02,33a4c6ca9c,687,125465,613,26332,12336,12205,95,28190,304,10160,40
